Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,133.520004,134.830002,130.009995,132.250000,120.734703,99749700
2016-01-01,130.110001,131.940002,113.589996,125.760002,115.318001,147050100
2016-02-01,124.919998,127.750000,109.620003,124.120003,113.814171,135914000
2016-03-01,124.779999,134.289993,123.980003,133.429993,122.351143,94146700
2016-04-01,133.100006,137.000000,131.750000,133.889999,123.448074,82951100
2016-05-01,134.369995,137.820007,130.020004,132.119995,121.816093,112394600
2016-06-01,132.119995,132.729996,123.620003,127.690002,118.341240,114046600
2016-07-01,128.289993,138.720001,128.119995,138.240005,128.118851,78399700
2016-08-01,138.059998,139.000000,133.600006,134.119995,124.300468,91331300
2016-09-01,134.479996,135.880005,125.349998,128.679993,119.870331,107739700
2016-10-01,128.199997,130.449997,121.620003,122.010002,113.656982,97360300
2016-11-01,121.690002,132.139999,119.199997,129.399994,120.541061,133565300
2016-12-01,129.339996,137.320007,128.679993,134.080002,125.563850,99553700
2017-01-01,135.100006,139.369995,133.050003,137.580002,128.841537,83138300
2017-02-01,137.660004,146.330002,136.330002,144.910004,135.705963,75930200
2017-03-01,146.720001,150.149994,145.830002,146.830002,137.504013,92996000
2017-04-01,146.940002,156.270004,145.759995,156.100006,147.074875,75716700
2017-05-01,156.220001,160.860001,153.279999,153.509995,144.634644,93676400
2017-06-01,153.520004,159.220001,150.750000,153.399994,145.366226,100510600
2017-07-01,154.389999,154.789993,144.250000,149.600006,141.765244,102500900
2017-08-01,150.240005,156.050003,146.889999,149.869995,142.021103,114385100
2017-09-01,150.259995,163.610001,149.759995,163.559998,155.910706,110280500
2017-10-01,164.199997,167.940002,161.509995,165.779999,158.026886,71346000
2017-11-01,166.419998,180.669998,160.529999,179.820007,171.410263,103227500
2017-12-01,180.320007,191.490005,176.699997,189.529999,181.581421,103713100
2018-01-01,190.210007,207.610001,187.820007,200.899994,192.474564,92074000
2018-02-01,199.339996,202.250000,175.419998,182.270004,174.625885,127014100
2018-03-01,182.750000,184.399994,171.559998,178.240005,170.764908,109321100
2018-04-01,177.149994,187.800003,170.419998,184.800003,178.059464,101369800
2018-05-01,184.729996,191.649994,181.199997,186.550003,179.745621,103145700
2018-06-01,187.210007,201.600006,186.520004,195.100006,189.036255,93713000
2018-07-01,193.820007,204.250000,192.119995,197.520004,191.381058,67987900
2018-08-01,196.860001,203.550003,191.089996,200.770004,194.530029,88542700
2018-09-01,200.690002,215.429993,200.500000,207.149994,201.740570,83962700
2018-10-01,208.520004,209.789993,170.910004,175.880005,171.287140,133142600
2018-11-01,176.839996,188.690002,167.000000,180.320007,175.611191,132549500
2018-12-01,183.289993,183.500000,158.089996,171.820007,168.334122,117667300
2019-01-01,169.710007,184.669998,168.210007,183.529999,179.806534,98771800
2019-02-01,184.029999,193.419998,182.449997,185.139999,181.383865,90471400
2019-03-01,185.820007,192.190002,179.520004,191.889999,187.996933,95115500
2019-04-01,192.990005,208.300003,192.850006,203.699997,201.053375,71203800
2019-05-01,203.199997,203.520004,186.270004,189.850006,187.383347,94651500
2019-06-01,189.520004,211.990005,188.750000,207.970001,205.267899,90786400
2019-07-01,209.699997,219.300003,208.169998,213.690002,212.393005,64167400
2019-08-01,214.139999,229.270004,199.050003,227.910004,226.526688,99184500
2019-09-01,226.449997,235.490005,220.669998,232.020004,230.611755,75292900
2019-10-01,233.009995,238.990005,222.119995,234.580002,234.580002,62598300
2019-11-01,236.070007,238.389999,233.880005,234.919998,234.919998,4736400
